id,group,time,score,ear_tag,department
1,Control,t1,0.1076,81050,1
2,Control,t1,0.1306,81323,1
3,Control,t1,0.10365,81465,7
4,Control,t1,0.10275,81062,7
5,Control,t1,0.04535,81116,2
6,Control,t1,0.1052,81112,2
7,Control,t1,0.0802,81049,6
8,Control,t1,0.0854,81423,6
9,Control,t1,0.1413,81048,7
10,Control,t1,0.0941,81410,1
11,Control,t1,0.1756,81369,7
12,Control,t1,0.0888,81257,1
13,Control,t1,0.08,81320,2
14,Control,t1,0.0972,81169,6
15,Control,t1,0.0893,81019,6
16,Control,t1,0.0804,81394,2
1,EcN,t1,0.2329,80637,1
2,EcN,t1,0.3775,81078,1
3,EcN,t1,0.1658,81411,7
4,EcN,t1,0.1405,81353,7
5,EcN,t1,0.1712,81366,2
6,EcN,t1,0.14885,81208,2
7,EcN,t1,0.1715,81221,6
8,EcN,t1,0.1104,81047,6
9,EcN,t1,0.0658,81398,6
10,EcN,t1,0.0658,81399,6
11,EcN,t1,0.1621,81381,7
12,EcN,t1,0.1697,80636,2
13,EcN,t1,0.1176,81045,1
14,EcN,t1,0.0708,81395,1
15,EcN,t1,0.1301,81290,2
16,EcN,t1,0.1895,81305,7
1,Control,t2,0.1342,81050,1
2,Control,t2,0.2441,81323,1
3,Control,t2,0.4741,81465,7
4,Control,t2,0.0841,81062,7
5,Control,t2,0.1701,81116,2
6,Control,t2,0.6252,81112,2
7,Control,t2,0.2196,81049,6
8,Control,t2,0.6227,81423,6
9,Control,t2,0.4838,81048,7
10,Control,t2,0.2313,81410,1
11,Control,t2,0.2255,81369,7
12,Control,t2,0.2846,81257,1
13,Control,t2,0.6243,81320,2
14,Control,t2,0.523,81169,6
15,Control,t2,0.226,81019,6
16,Control,t2,1.1788,81394,2
1,EcN,t2,2.2188,80637,1
2,EcN,t2,0.5149,81078,1
3,EcN,t2,0.111,81411,7
4,EcN,t2,0.1053,81353,7
5,EcN,t2,0.4732,81366,2
6,EcN,t2,0.2359,81208,2
7,EcN,t2,0.1808,81221,6
8,EcN,t2,0.432,81047,6
9,EcN,t2,0.1969,81398,6
10,EcN,t2,0.095,81399,6
11,EcN,t2,0.2012,81381,7
12,EcN,t2,0.2799,80636,2
13,EcN,t2,1.4857,81045,1
14,EcN,t2,0.1948,81395,1
15,EcN,t2,0.4293,81290,2
16,EcN,t2,0.2728,81305,7
1,Control,t3,0.854,81050,1
2,Control,t3,0.473,81323,1
3,Control,t3,1.0124,81465,7
4,Control,t3,1.259,81062,7
5,Control,t3,0.1274,81116,2
6,Control,t3,0.7417,81112,2
7,Control,t3,0.4795,81049,6
8,Control,t3,1.2146,81423,6
9,Control,t3,0.5725,81048,7
10,Control,t3,0.4039,81410,1
11,Control,t3,0.6438,81369,7
12,Control,t3,0.1974,81257,1
13,Control,t3,0.2204,81320,2
14,Control,t3,0.6439,81169,6
15,Control,t3,0.8214,81019,6
16,Control,t3,0.9346,81394,2
1,EcN,t3,0.6949,80637,1
2,EcN,t3,0.7317,81078,1
3,EcN,t3,0.1973,81411,7
4,EcN,t3,0.2252,81353,7
5,EcN,t3,0.8072,81366,2
6,EcN,t3,0.2733,81208,2
7,EcN,t3,0.5076,81221,6
8,EcN,t3,0.4898,81047,6
9,EcN,t3,0.6366,81398,6
10,EcN,t3,0.5852,81399,6
11,EcN,t3,0.6573,81381,7
12,EcN,t3,0.5039,80636,2
13,EcN,t3,0.6327,81045,1
14,EcN,t3,0.2891,81395,1
15,EcN,t3,0.5838,81290,2
16,EcN,t3,0.1599,81305,7
