id ,group,time ,score
1,Control,t1,14.6615
2,Control,t1,20.566
3,Control,t1,7.63
4,Control,t1,168.9695
5,Control,t1,85.869
6,Control,t1,377.1915
7,Control,t1,194.957
8,Control,t1,95.795
1,EcN,t1,63.3325
2,EcN,t1,128.2925
3,EcN,t1,106.1935
4,EcN,t1,162.421
5,EcN,t1,89.0365
6,EcN,t1,562.226
7,EcN,t1,251.8285
8,EcN,t1,421.015
1,Control,t2,112.6895
2,Control,t2,521.3565
3,Control,t2,13.8425
4,Control,t2,159.7365
5,Control,t2,135.226
6,Control,t2,535.815
7,Control,t2,760.655
8,Control,t2,102.0915
1,EcN,t2,216.776
2,EcN,t2,658.546
3,EcN,t2,1152.97
4,EcN,t2,125.93
5,EcN,t2,11.6445
6,EcN,t2,394.156
7,EcN,t2,266.616
8,EcN,t2,
1,Control,t3,229.831
2,Control,t3,189.049
3,Control,t3,114.933
4,Control,t3,418.866
5,Control,t3,104.958
6,Control,t3,32.8615
7,Control,t3,43.386
8,Control,t3,31.262
1,EcN,t3,145.3865
2,EcN,t3,143.7275
3,EcN,t3,173.341
4,EcN,t3,103.418
5,EcN,t3,178.745
6,EcN,t3,111.2055
7,EcN,t3,168.9345
8,EcN,t3,32.62
