id,group,time,score,id2,pen,bwb
1,Control,t1,0.763128377,,202,1.04
2,Control,t1,0.997233437,,609,1.23
3,Control,t1,1.090734069,,703,1.68
4,Control,t1,,,109,1.85
5,Control,t1,-0.152735898,,209,1.65
6,Control,t1,,,710,1.7
7,Control,t1,1.200645336,,601,2.13
8,Control,t1,1.225309282,,105,1.22
1,EcN,t1,0.974787932,283,604,1.72
2,EcN,t1,1.504729052,304,708,1.3
3,EcN,t1,1.421381788,357,106,1.52
4,EcN,t1,1.364072351,118,205,1.42
5,EcN,t1,1.377725041,195,107,1.31
6,EcN,t1,1.783142183,001,702,1.95
7,EcN,t1,1.498551762,144,608,1.71
8,EcN,t1,1.738776596,170,210,2.13
1,Control,t2,1.219754753,,,
2,Control,t2,1.079235529,,,
3,Control,t2,0.782615932,,,
4,Control,t2,1.011824096,,,
5,Control,t2,1.100129203,,,
6,Control,t2,1.335126788,,,
7,Control,t2,1.301767669,,,
8,Control,t2,0.921374295,,,
1,EcN,t2,1.28308629,,,
2,EcN,t2,1.027940499,,,
3,EcN,t2,1.173273701,,,
4,EcN,t2,0.999674157,,,
5,EcN,t2,0.712270791,,,
6,EcN,t2,0.523616419,,,
7,EcN,t2,0.79302166,,,
8,EcN,t2,,,,
1,Control,t3,1.788765646,,,
2,Control,t3,1.681801839,,,
3,Control,t3,1.212826586,,,
4,Control,t3,1.580537243,,,
5,Control,t3,1.215148277,,,
6,Control,t3,1.278307649,,,
7,Control,t3,1.287342568,,,
8,Control,t3,1.202937637,,,
1,EcN,t3,1.648725835,,,
2,EcN,t3,1.738304793,,,
3,EcN,t3,2.082654344,,,
4,EcN,t3,,,,
5,EcN,t3,1.873750614,,,
6,EcN,t3,1.555596198,,,
7,EcN,t3,,,,
8,EcN,t3,0.944087679,,,
