id,group,time,score
1,Control,t1,1.647084535
2,Control,t1,2.341439471
3,Control,t1,1.744097311
4,Control,t1,1.639307156
5,Control,t1,1.560474545
6,Control,t1,1.845879067
7,Control,t1,1.8549949
8,Control,t1,1.845879067
1,EcN,t1,1.798035708
2,EcN,t1,1.455917841
3,EcN,t1,1.567649702
4,EcN,t1,1.872039668
5,EcN,t1,2.218506621
6,EcN,t1,1.867773802
7,EcN,t1,1.742807584
8,EcN,t1,2.081786422
1,Control,t2,1.716174522
2,Control,t2,1.356245819
3,Control,t2,1.320405954
4,Control,t2,1.394101302
5,Control,t2,0.981660077
6,Control,t2,0.712270791
7,Control,t2,0.780857144
8,Control,t2,1.731080851
1,EcN,t2,1.269898035
2,EcN,t2,1.642434841
3,EcN,t2,0.840733235
4,EcN,t2,0.638888425
5,EcN,t2,1.046904683
6,EcN,t2,1.192037503
7,EcN,t2,2.152315869
8,EcN,t2,1.848019678
1,Control,t3,1.950829573
2,Control,t3,1.812177774
3,Control,t3,1.789037504
4,Control,t3,2.646062431
5,Control,t3,1.772596722
6,Control,t3,2.032576457
7,Control,t3,1.495454139
8,Control,t3,
1,EcN,t3,1.280942406
2,EcN,t3,1.870936204
3,EcN,t3,1.700919945
4,EcN,t3,2.116067861
5,EcN,t3,1.857323449
6,EcN,t3,2.017861467
7,EcN,t3,1.857323449
8,EcN,t3,2.017861467
